"ACTUAL,C,1","CHEFLIEU,C,1","CDC,C,1","RANG,C,1","REG,C,2","DEP,C,3","COM,C,3","AR,C,1","CT,C,2","MODIF,C,1","POLE,C,5","TNCC,C,1","ARTMAJ,C,5","NCC,C,70","ARTMIN,C,5","NCCENR,C,70","ARTICLCT,C,5","NCCCT,C,70","MOD,C,3","MANIP,C,1"
1,0,0,,44,88,238,2,04,1,,1,,HENNEZEL,,Hennezel,,Darney,420,M
1,0,0,,44,88,252,2,04,1,,0,,JESONVILLE,,Jésonville,,Darney,420,M
1,0,0,,44,88,267,2,04,1,,0,,LERRAIN,,Lerrain,,Darney,420,M
9,1,1,3,84,26,198,2,08,0,,0,,MONTELIMAR,,Montélimar,,Montélimar-1,420,M
9,1,1,3,84,26,198,2,09,0,,0,,MONTELIMAR,,Montélimar,,Montélimar-2,420,M
6,,,,75,16,172,,,1,16082,0,,JUILLAGUET,,Juillaguet,,,331,S
1,0,0,,75,16,173,3,05,1,,0,,JUILLE,,Juillé,,Boixe-et-Manslois,420,M
1,0,0,,75,16,175,1,09,0,,0,,VAL DES VIGNES,,Val des Vignes,,Charente-Sud,341,M
1,0,0,,75,16,175,1,09,0,,0,,VAL DES VIGNES,,Val des Vignes,,Charente-Sud,341,M
1,0,0,,75,16,175,1,09,0,,0,,VAL DES VIGNES,,Val des Vignes,,Charente-Sud,341,M
1,0,0,,75,16,175,1,09,0,,0,,VAL DES VIGNES,,Val des Vignes,,Charente-Sud,341,M
1,0,0,,75,16,175,1,09,0,,0,,VAL DES VIGNES,,Val des Vignes,,Charente-Sud,331,S
6,,,,75,16,179,,,1,16224,0,,LAMERAC,,Lamérac,,,331,S
1,0,0,,75,16,184,3,05,1,,0,,LICHERES,,Lichères,,Boixe-et-Manslois,420,M
1,0,0,,75,16,185,3,08,1,,0,,LIGNE,,Ligné,,Charente-Nord,420,M
1,0,0,,75,16,189,3,08,1,,0,,LONDIGNY,,Londigny,,Charente-Nord,420,M
1,0,0,,75,16,190,3,08,1,,0,,LONGRE,,Longré,,Charente-Nord,420,M
1,0,0,,75,16,191,3,05,1,,0,,LONNES,,Lonnes,,Boixe-et-Manslois,420,M
1,0,0,,75,16,194,3,08,1,,0,,LUPSAULT,,Lupsault,,Charente-Nord,420,M
1,0,0,,94,2B,087,3,10,1,,0,,CERVIONE,,Cervione,,Castagniccia,420,M
1,0,0,,94,2B,101,3,09,1,,0,,CROCE,,Croce,,Casinca-Fumalto,420,M
1,0,0,,94,2B,102,3,14,1,,0,,CROCICCHIA,,Crocicchia,,Golo-Morosaglia,420,M
1,0,0,,94,2B,109,5,08,1,,0,,FARINOLE,,Farinole,,Cap Corse,420,M
1,0,0,,94,2B,113,3,09,1,,0,,FICAJA,,Ficaja,,Casinca-Fumalto,420,M
1,0,0,,94,2B,125,3,09,1,,0,,GIOCATOJO,,Giocatojo,,Casinca-Fumalto,420,M
1,0,0,,94,2B,136,5,15,1,,0,,LAMA,,Lama,(L'),île-Rousse,420,M
1,0,0,,94,2B,140,3,14,1,,0,,LENTO,,Lento,,Golo-Morosaglia,420,M
1,0,0,,94,2B,145,3,09,1,,0,,LORETO-DI-CASINCA,,Loreto-di-Casinca,,Casinca-Fumalto,420,M
1,0,0,,94,2B,166,3,14,1,,0,,MONTE,,Monte,,Golo-Morosaglia,420,M
1,0,0,,94,2B,172,5,05,1,,0,,MURATO,,Murato,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,185,5,05,1,,1,,OLETTA,,Oletta,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,188,5,05,1,,1,,OLMETA-DI-TUDA,,Olmeta-di-Tuda,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,192,3,14,1,,1,,OLMO,,Olmo,,Golo-Morosaglia,420,M
1,0,0,,94,2B,195,3,14,1,,1,,ORTIPORIO,,Ortiporio,,Golo-Morosaglia,420,M
